epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,17760.7,0.54681,0.65256,1.07017,0.90148,0.90339,0.94431,0.80686,0.67356,0.48967,0.85663,0.00517692,0.00517692,0.00517692
59,18055.4,0.54211,0.65066,1.06933,0.90708,0.90003,0.94787,0.81072,0.68015,0.49512,0.86804,0.00509231,0.00509231,0.00509231
60,18347.1,0.53755,0.65366,1.0652,0.92214,0.88848,0.95019,0.8126,0.67594,0.47766,0.86322,0.00500769,0.00500769,0.00500769
61,18643.1,0.53099,0.64635,1.06112,0.89215,0.91782,0.95105,0.81205,0.6771,0.4789,0.86282,0.00492308,0.00492308,0.00492308
62,18941.7,0.53466,0.64878,1.06428,0.90726,0.90602,0.94982,0.8112,0.67015,0.47565,0.85222,0.00483846,0.00483846,0.00483846
63,19241,0.53524,0.64353,1.06008,0.92818,0.88642,0.94803,0.81045,0.67494,0.48147,0.85852,0.00475385,0.00475385,0.00475385
64,19544.8,0.53567,0.64493,1.06127,0.89515,0.9065,0.94979,0.81017,0.67781,0.48342,0.86201,0.00466923,0.00466923,0.00466923
65,19846.8,0.52645,0.63708,1.05769,0.90453,0.90158,0.95021,0.80838,0.67715,0.47741,0.86027,0.00458462,0.00458462,0.00458462
66,20147.6,0.53314,0.6394,1.06146,0.9261,0.88261,0.94932,0.81005,0.67633,0.47514,0.86051,0.0045,0.0045,0.0045
67,20456.5,0.52934,0.63371,1.05806,0.90028,0.90284,0.94776,0.81141,0.6796,0.48117,0.86388,0.00441538,0.00441538,0.00441538
68,20768.4,0.52627,0.62572,1.05368,0.88872,0.91557,0.95015,0.81205,0.67847,0.48096,0.86189,0.00433077,0.00433077,0.00433077
69,21069.7,0.52888,0.62398,1.0587,0.90095,0.90505,0.94942,0.814,0.69083,0.50413,0.87365,0.00424615,0.00424615,0.00424615
70,21371.1,0.52323,0.61745,1.05136,0.90947,0.89823,0.94993,0.8153,0.68973,0.49796,0.87265,0.00416154,0.00416154,0.00416154
71,21671.1,0.51885,0.6163,1.05344,0.91934,0.89225,0.94872,0.81558,0.68905,0.49524,0.87314,0.00407692,0.00407692,0.00407692
72,21976.5,0.51939,0.60611,1.05571,0.91587,0.89821,0.9491,0.81467,0.68172,0.48953,0.86746,0.00399231,0.00399231,0.00399231
73,22282.1,0.51968,0.6104,1.0548,0.92685,0.8896,0.94942,0.81469,0.67944,0.48765,0.86619,0.00390769,0.00390769,0.00390769
74,22587.5,0.52173,0.61054,1.05562,0.9221,0.8885,0.9498,0.81674,0.68392,0.48893,0.8712,0.00382308,0.00382308,0.00382308
75,22891.1,0.51817,0.6109,1.05366,0.91803,0.88957,0.94849,0.81534,0.68654,0.5046,0.87385,0.00373846,0.00373846,0.00373846
76,23195.6,0.51894,0.61454,1.05165,0.91039,0.901,0.94948,0.81577,0.6838,0.49783,0.87115,0.00365385,0.00365385,0.00365385
77,23498.1,0.50917,0.59452,1.04891,0.92034,0.89431,0.94941,0.81606,0.68089,0.49197,0.86834,0.00356923,0.00356923,0.00356923
78,23803.1,0.51941,0.60197,1.04954,0.91679,0.90094,0.95022,0.81722,0.6863,0.49884,0.87365,0.00348462,0.00348462,0.00348462
79,24106.6,0.50577,0.59001,1.04599,0.92512,0.8943,0.9493,0.81686,0.68994,0.49986,0.87704,0.0034,0.0034,0.0034
80,24411.3,0.51447,0.60287,1.0483,0.92729,0.88969,0.94904,0.81656,0.69742,0.52447,0.88445,0.00331538,0.00331538,0.00331538
81,24715.7,0.51526,0.58853,1.04708,0.92383,0.89568,0.94886,0.81572,0.69759,0.53066,0.88557,0.00323077,0.00323077,0.00323077
82,25019.7,0.50711,0.58662,1.04295,0.9225,0.89397,0.94853,0.81581,0.70211,0.52498,0.88829,0.00314615,0.00314615,0.00314615
83,25324.5,0.50184,0.58629,1.04466,0.92277,0.89713,0.94851,0.81622,0.70646,0.52662,0.8904,0.00306154,0.00306154,0.00306154
84,25628.4,0.50384,0.58621,1.04342,0.92471,0.88845,0.94942,0.81615,0.70829,0.53651,0.8918,0.00297692,0.00297692,0.00297692
85,25930.7,0.50052,0.57764,1.04025,0.921,0.89654,0.95021,0.8166,0.70823,0.53838,0.89024,0.00289231,0.00289231,0.00289231
86,26232.2,0.50051,0.57808,1.03819,0.92423,0.89008,0.95042,0.81694,0.69789,0.52818,0.88087,0.00280769,0.00280769,0.00280769
87,26537,0.49537,0.57246,1.04048,0.92594,0.89179,0.95021,0.81656,0.69161,0.52093,0.87583,0.00272308,0.00272308,0.00272308
88,26839.5,0.49781,0.5693,1.03877,0.93143,0.88707,0.95103,0.81749,0.6893,0.51859,0.87496,0.00263846,0.00263846,0.00263846
89,27148.3,0.50098,0.56835,1.03934,0.93145,0.88635,0.95141,0.81704,0.68872,0.52171,0.87604,0.00255385,0.00255385,0.00255385
90,27454,0.49585,0.56911,1.04128,0.93305,0.88683,0.95148,0.81842,0.6886,0.52082,0.8772,0.00246923,0.00246923,0.00246923
91,27756.8,0.49677,0.56516,1.0365,0.9266,0.88989,0.95158,0.81865,0.68529,0.51051,0.87344,0.00238462,0.00238462,0.00238462
92,28056.1,0.48991,0.55853,1.03479,0.91307,0.90313,0.952,0.81861,0.68281,0.50488,0.87072,0.0023,0.0023,0.0023
93,28360.9,0.50028,0.55953,1.03894,0.92911,0.88679,0.95168,0.81863,0.68422,0.50752,0.87187,0.00221538,0.00221538,0.00221538
